Fire Name,Year,Fire_ID,Fire_SegID,Database,State,UTM_Zone,UTM_X,UTM_Y,Response,StormDate,GaugeDist_m,StormStart,StormEnd,StormDur_H,StormAccum_mm,StormAvgI_mm/h,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,ContributingArea_km2,PropHM23,dNBR/1000,KF,Acc015_mm,Acc030_mm,Acc060_mm,ID,Missing_Data,Latitude,Longitude,KF_Acc015
3,2007,3,47,Training,1,11,342925.3975,3770772.303,0,2008-01-22 00:00:00,807.20159,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,0.0763458,0.887799683,0.161138992,0.21,1.0,1.2,2.0,53,0,34.06592059524619,-118.70212389097728,0.21
3,2007,3,48,Training,1,11,343782.8975,3770537.303,0,2008-01-22 00:00:00,878.841334,2008-01-21 09:30:00,2008-01-22 04:42:00,19.2,4.4,0.23,4.0,2.4,2.0,0.5061455,0.46763176,0.025954779,0.2100001,1.0,1.2,2.0,54,0,34.06393042254289,-118.69279310559568,0.2100001
4,2000,4,49,Test,5,13,378054.6251,3975617.907,1,2000-07-16 00:00:00,1305.86,2000-07-16 12:24:00,2000-07-16 13:42:00,1.3,23.62,18.17,35.56,30.99,23.37,0.1764571,0.751629105,0.638052307,0.0,8.89,15.495,23.37,55,0,35.91728374524798,-106.35158048161773,0.0
4,2000,4,50,Test,5,13,377715.8751,3975379.157,0,2000-07-16 00:00:00,1043.78,2000-07-16 12:27:00,2000-07-16 13:06:00,0.667,2.03,3.05,6.1,3.56,,0.0224571,0.732759399,0.637106079,0.0,1.525,1.78,,56,1,35.91508944365927,-106.35529735694769,0.0
4,2000,4,51,Test,5,13,378414.6251,3975397.907,1,2000-07-16 00:00:00,926.249994,2000-07-16 12:24:00,2000-07-16 13:42:00,1.3,23.62,18.17,35.56,30.99,23.37,0.2577889,0.825321198,0.704229126,0.0,8.89,15.495,23.37,57,0,35.915345604832375,-106.34755777844416,0.0
4,2000,4,52,Test,5,13,378604.6251,3975215.407,1,2000-07-16 00:00:00,815.78773,2000-07-16 12:09:00,2000-07-16 13:30:00,1.367,25.65,18.77,34.54,30.99,25.15,0.0418733,0.886211472,0.648581848,0.0,8.635,15.495,25.15,58,0,35.91372423947989,-106.34542462899006,0.0
4,2000,4,53,Test,5,13,377762.1251,3975230.407,0,2000-07-16 00:00:00,905.384166,2000-07-16 12:27:00,2000-07-16 13:06:00,0.667,2.03,3.05,6.1,3.56,,0.36486,0.818801422,0.64296283,0.0,1.525,1.78,,59,1,35.913754463070546,-106.35476202407143,0.0
4,2000,4,54,Test,5,13,377769.6251,3975007.907,0,2000-07-16 00:00:00,625.980806,2000-07-16 12:27:00,2000-07-16 13:06:00,0.667,2.03,3.05,6.1,3.56,,0.1116913,0.874016113,0.634209839,0.0,1.525,1.78,,60,1,35.91174988630282,-106.35464472690238,0.0
4,2000,4,55,Test,5,13,378974.6251,3975097.907,1,2000-07-16 00:00:00,548.249262,2000-07-16 12:09:00,2000-07-16 13:30:00,1.367,25.65,18.77,34.54,30.99,25.15,0.1013286,0.804444962,0.578366455,0.0,8.635,15.495,25.15,61,0,35.91271101635121,-106.3413070497635,0.0
4,2000,4,56,Test,5,13,379224.6251,3974952.907,1,2000-07-16 00:00:00,563.999779,2000-07-16 12:09:00,2000-07-16 13:30:00,1.367,25.65,18.77,34.54,30.99,25.15,0.23008,0.654855576,0.738143189,0.0,8.635,15.495,25.15,62,0,35.911434958919735,-106.33851499608708,0.0
